Химки
Время 		Угл места 
58120.9		0.113298
58121.9		0.114621
58122.9		0.115948
58123.9		0.117279
58124.9		0.118614
58125.9		0.119952
58126.9		0.121295
58127.9		0.122642
58128.9		0.123992
58129.9		0.125347
58130.9		0.126705
58131.9		0.128068
58132.9		0.129435
58133.9		0.130806
58134.9		0.132181
58135.9		0.133561
58136.9		0.134944
58137.9		0.136332
58138.9		0.137724
58139.9		0.13912
58140.9		0.140521
58141.9		0.141926
58142.9		0.143335
58143.9		0.144749
58144.9		0.146167
58145.9		0.14759
58146.9		0.149017
58147.9		0.150448
58148.9		0.151884
58149.9		0.153325
58150.9		0.15477
58151.9		0.15622
58152.9		0.157674
58153.9		0.159133
58154.9		0.160597
58155.9		0.162065
58156.9		0.163539
58157.9		0.165017
58158.9		0.166499
58159.9		0.167987
58160.9		0.16948
58161.9		0.170977
58162.9		0.172479
58163.9		0.173986
58164.9		0.175498
58165.9		0.177015
58166.9		0.178538
58167.9		0.180065
58168.9		0.181597
58169.9		0.183134
58170.9		0.184677
58171.9		0.186224
58172.9		0.187777
58173.9		0.189335
58174.9		0.190898
58175.9		0.192467
58176.9		0.194041
58177.9		0.19562
58178.9		0.197204
58179.9		0.198794
58180.9		0.200389
58181.9		0.20199
58182.9		0.203596
58183.9		0.205208
58184.9		0.206825
58185.9		0.208448
58186.9		0.210076
58187.9		0.21171
58188.9		0.213349
58189.9		0.214994
58190.9		0.216645
58191.9		0.218301
58192.9		0.219964
58193.9		0.221631
58194.9		0.223305
58195.9		0.224985
58196.9		0.22667
58197.9		0.228361
58198.9		0.230058
58199.9		0.231761
58200.9		0.23347
58201.9		0.235185
58202.9		0.236905
58203.9		0.238632
58204.9		0.240365
58205.9		0.242104
58206.9		0.243848
58207.9		0.245599
58208.9		0.247356
58209.9		0.249119
58210.9		0.250889
58211.9		0.252664
58212.9		0.254446
58213.9		0.256233
58214.9		0.258027
58215.9		0.259827
58216.9		0.261634
58217.9		0.263446
58218.9		0.265265
58219.9		0.267091
58220.9		0.268922
58221.9		0.27076
58222.9		0.272604
58223.9		0.274454
58224.9		0.276311
58225.9		0.278174
58226.9		0.280044
58227.9		0.28192
58228.9		0.283802
58229.9		0.285691
58230.9		0.287585
58231.9		0.289487
58232.9		0.291395
58233.9		0.293309
58234.9		0.295229
58235.9		0.297156
58236.9		0.299089
58237.9		0.301029
58238.9		0.302975
58239.9		0.304927
58240.9		0.306886
58241.9		0.308851
58242.9		0.310822
58243.9		0.3128
58244.9		0.314784
58245.9		0.316774
58246.9		0.318771
58247.9		0.320773
58248.9		0.322782
58249.9		0.324797
58250.9		0.326819
58251.9		0.328846
58252.9		0.33088
58253.9		0.332919
58254.9		0.334965
58255.9		0.337017
58256.9		0.339074
58257.9		0.341138
58258.9		0.343207
58259.9		0.345283
58260.9		0.347364
58261.9		0.34945
58262.9		0.351543
58263.9		0.353641
58264.9		0.355744
58265.9		0.357853
58266.9		0.359968
58267.9		0.362088
58268.9		0.364213
58269.9		0.366343
58270.9		0.368478
58271.9		0.370619
58272.9		0.372764
58273.9		0.374915
58274.9		0.377069
58275.9		0.379229
58276.9		0.381393
58277.9		0.383562
58278.9		0.385735
58279.9		0.387912
58280.9		0.390094
58281.9		0.392279
58282.9		0.394468
58283.9		0.396661
58284.9		0.398857
58285.9		0.401057
58286.9		0.40326
58287.9		0.405467
58288.9		0.407676
58289.9		0.409888
58290.9		0.412103
58291.9		0.41432
58292.9		0.41654
58293.9		0.418762
58294.9		0.420985
58295.9		0.423211
58296.9		0.425438
58297.9		0.427666
58298.9		0.429896
58299.9		0.432126
58300.9		0.434357
58301.9		0.436588
58302.9		0.43882
58303.9		0.441052
58304.9		0.443283
58305.9		0.445514
58306.9		0.447744
58307.9		0.449973
58308.9		0.452201
58309.9		0.454427
58310.9		0.456651
58311.9		0.458873
58312.9		0.461092
